chromosome,fitness
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,62
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,58
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,120
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,74
10111101110100111001010001011101101111100011110001001110110111000101100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,30
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,395
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,43
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,78
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,203
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010001000110010000110,66
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,11
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011110101001001000000001110100000110010011001110111010101000100010000111,133
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,67
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,191
10111101110100111001010001011101101111100011110001001110110111000101100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,16
